Team,Date Eliminated
Boston Celtics,Playoffs
Cleveland Cavaliers,Playoffs
Toronto Raptors,Playoffs
Washington Wizards,Playoffs
Atlanta Hawks,Playoffs
Milwaukee Bucks,Playoffs
Indiana Pacers,Playoffs
Miami Heat,2017/04/12
Chicago Bulls,Playoffs
Detroit Pistons,2017/04/08
Charlotte Hornets,2017/04/08
New York Knicks,2017/03/29
Orlando Magic,2017/03/28
Philadelphia 76ers,2017/03/29
Brooklyn Nets,2017/03/08
Golden State Warriors,Playoffs
San Antonio Spurs,Playoffs
Houston Rockets,Playoffs
Utah Jazz,Playoffs
LA Clippers,Playoffs
Oklahoma City Thunder,Playoffs
Memphis Grizzlies,Playoffs
Portland Trail Blazers,Playoffs
Denver Nuggets,2017/04/09
New Orleans Pelicans,2017/04/04
Dallas Mavericks,2017/04/02
Sacramento Kings,2017/03/29
Minnesota Timberwolves,2017/04/01
Los Angeles Lakers,2017/03/17
Phoenix Suns,2017/03/21
